claims: 27; space: 165888 models

separated pairs whose ENTIRE truth-separation requires one knob off-base:
  {NVL,ZDW} split entirely by knob 'norm' (6144 separators)
  {PHS,PR2} split entirely by knob 'lock' (1536 separators)
  {PHS,PRO} split entirely by knob 'lock' (3072 separators)
  {PHS,RAD} split entirely by knob 'lock' (4608 separators)
  {PHS,RDW} split entirely by knob 'lock' (2304 separators)
  {PHS,RLS} split entirely by knob 'lock' (2304 separators)
  {PHS,SWF} split entirely by knob 'lock' (4608 separators)
  {PHS,SWP} split entirely by knob 'lock' (2304 separators)
  {PHS,T53} split entirely by knob 'two_ops' (2304 separators)
  {PHS,TWN} split entirely by knob 'lock' (4608 separators)
  {PHS,V4I} split entirely by knob 'lock' (4608 separators)
  {PHS,ZDG} split entirely by knob 'lock' (4608 separators)
  {PHS,ZDW} split entirely by knob 'lock' (2304 separators)
  {PR2,TWN} split entirely by knob 'coeff' (3072 separators)
  {PR2,V4I} split entirely by knob 'coeff' (3072 separators)
  {PR2,ZDG} split entirely by knob 'coeff' (6144 separators)
  {PRO,TWN} split entirely by knob 'coeff' (6144 separators)
  {PRO,V4I} split entirely by knob 'coeff' (6144 separators)
  {PRO,ZDG} split entirely by knob 'coeff' (12288 separators)
  {PUR,RAD} split entirely by knob 'norm' (12288 separators)
  {PUR,RDW} split entirely by knob 'norm' (6144 separators)
  {PUR,SWF} split entirely by knob 'norm' (12288 separators)
  {PUR,SWP} split entirely by knob 'norm' (6144 separators)
  {PUR,ZDW} split entirely by knob 'norm' (6144 separators)
  {RAD,RLS} split entirely by knob 'lock' (4608 separators)
  {RDW,RLS} split entirely by knob 'lock' (2304 separators)
  {RLS,SWF} split entirely by knob 'lock' (4608 separators)
  {RLS,SWP} split entirely by knob 'lock' (2304 separators)
  {RLS,TWN} split entirely by knob 'lock' (2304 separators)
  {RLS,V4I} split entirely by knob 'lock' (4608 separators)
  {RLS,ZDG} split entirely by knob 'lock' (4608 separators)
  {RLS,ZDW} split entirely by knob 'lock' (2304 separators)

ledgered-circle hits (H-instability events): 0
thread-20 verdict: STABILITY HOLDS — no ledgered circle was ever split by a knob admission
